"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24641","Can remove a product from the cart","tests","Tue Dec 16 20:35:35 UTC 2025","passed","Tue Dec 16 20:36:00 UTC 2025","TestCartPage","test_cart_page","",""
"","22150","Can not aad a product to cart without selecting the size","tests","Tue Dec 16 20:42:40 UTC 2025","passed","Tue Dec 16 20:43:02 UTC 2025","TestFavoritesPage","test_favorites_page","",""
"","16554","Can filter by ""New In"" tag","tests","Tue Dec 16 20:47:17 UTC 2025","passed","Tue Dec 16 20:47:34 UTC 2025","TestPLP","test_product_listing_page","",""
"","19588","Can apply and clear the size filter","tests","Tue Dec 16 20:49:26 UTC 2025","passed","Tue Dec 16 20:49:45 UTC 2025","TestPLP","test_product_listing_page","",""
"","17820","Can select a color","tests","Tue Dec 16 20:44:03 UTC 2025","passed","Tue Dec 16 20:44:20 UTC 2025","TestPDP","test_pdp","",""
"","22216","Can filter by price range","tests","Tue Dec 16 20:50:24 UTC 2025","passed","Tue Dec 16 20:50:46 UTC 2025","TestPLP","test_product_listing_page","",""
"","23631","Check the recently viewed section contains the relevant product and can be cleared","tests","Tue Dec 16 20:41:08 UTC 2025","passed","Tue Dec 16 20:41:32 UTC 2025","TestCartPage","test_cart_page","",""
"","17934","Can zoom a product image; can select a thumb in the image carousel","tests","Tue Dec 16 20:45:14 UTC 2025","passed","Tue Dec 16 20:45:32 UTC 2025","TestPDP","test_pdp","",""
"","27614","Can sort by price asc/desc","tests","Tue Dec 16 20:48:07 UTC 2025","passed","Tue Dec 16 20:48:35 UTC 2025","TestPLP","test_product_listing_page","",""
"","16183","Can sort alphabetically","tests","Tue Dec 16 20:48:52 UTC 2025","passed","Tue Dec 16 20:49:09 UTC 2025","TestPLP","test_product_listing_page","",""
"","21157","Can add a product to cart","tests","Tue Dec 16 20:46:10 UTC 2025","passed","Tue Dec 16 20:46:31 UTC 2025","TestPDP","test_pdp","",""
"","17450","Can filter by brand","tests","Tue Dec 16 20:49:46 UTC 2025","passed","Tue Dec 16 20:50:03 UTC 2025","TestPLP","test_product_listing_page","",""
"","19156","Can scroll up the page to the top by clicking the Back to Top button","tests","Tue Dec 16 20:45:33 UTC 2025","passed","Tue Dec 16 20:45:52 UTC 2025","TestPDP","test_pdp","",""
"","16600","Can filter by Clearance (sales)","tests","Tue Dec 16 20:47:35 UTC 2025","passed","Tue Dec 16 20:47:51 UTC 2025","TestPLP","test_product_listing_page","",""
"","32332","Can add a product to cart from Favorites","tests","Tue Dec 16 20:41:50 UTC 2025","passed","Tue Dec 16 20:42:22 UTC 2025","TestFavoritesPage","test_favorites_page","",""
"","17324","Can open and close the size guide drawer, can switch between inches and centimeters","tests","Tue Dec 16 20:44:21 UTC 2025","passed","Tue Dec 16 20:44:39 UTC 2025","TestPDP","test_pdp","",""
"","16724","Can select a size; error appears if a size is not selected","tests","Tue Dec 16 20:43:45 UTC 2025","passed","Tue Dec 16 20:44:02 UTC 2025","TestPDP","test_pdp","",""
"","31689","Can move a product from SFL to the Bag","tests","Tue Dec 16 20:37:02 UTC 2025","passed","Tue Dec 16 20:37:33 UTC 2025","TestCartPage","test_cart_page","",""
"","36104","Check that the view_product_details link leads to relevant PDP","tests","Tue Dec 16 20:38:39 UTC 2025","passed","Tue Dec 16 20:39:15 UTC 2025","TestCartPage","test_cart_page","",""
"","21971","Check that product cards load when scrolling down the page","tests","Tue Dec 16 20:51:45 UTC 2025","passed","Tue Dec 16 20:52:07 UTC 2025","TestPLP","test_product_listing_page","",""
"","14512","Can change a product image when hovering over the different color","tests","Tue Dec 16 20:52:34 UTC 2025","passed","Tue Dec 16 20:52:48 UTC 2025","TestPLP","test_product_listing_page","",""
"Check that product title and total in mini cart match the title and price on PDP","20401","test_add_to_mini_cart","tests","Tue Dec 16 20:46:32 UTC 2025","passed","Tue Dec 16 20:46:53 UTC 2025","TestPDP","test_pdp","",""
"","25513","Can move a product to the Saved for Later section","tests","Tue Dec 16 20:36:18 UTC 2025","passed","Tue Dec 16 20:36:44 UTC 2025","TestCartPage","test_cart_page","",""
"","18462","Can change the price range in thr price filter","tests","Tue Dec 16 20:50:04 UTC 2025","passed","Tue Dec 16 20:50:23 UTC 2025","TestPLP","test_product_listing_page","",""
"","16525","Can add/remove a product to/from favorites as unauthorized user","tests","Tue Dec 16 20:51:28 UTC 2025","passed","Tue Dec 16 20:51:44 UTC 2025","TestPLP","test_product_listing_page","",""
"","14628","Can show/hide the second row of filters","tests","Tue Dec 16 20:47:52 UTC 2025","passed","Tue Dec 16 20:48:07 UTC 2025","TestPLP","test_product_listing_page","",""
"","28902","Can change the product quantity by clicking ""+"" and ""-"" buttons","tests","Tue Dec 16 20:37:52 UTC 2025","passed","Tue Dec 16 20:38:21 UTC 2025","TestCartPage","test_cart_page","",""
"","20887","Can clear filters via the ""Clear All Filters"" button","tests","Tue Dec 16 20:50:47 UTC 2025","passed","Tue Dec 16 20:51:08 UTC 2025","TestPLP","test_product_listing_page","",""
"","18125","Can scroll up the page to the top by clicking the Back to Top button","tests","Tue Dec 16 20:51:09 UTC 2025","passed","Tue Dec 16 20:51:27 UTC 2025","TestPLP","test_product_listing_page","",""
"","17603","Can load more reviews by clicking ""View next reviews"" button; check number of downloaded reviews","tests","Tue Dec 16 20:44:56 UTC 2025","passed","Tue Dec 16 20:45:14 UTC 2025","TestPDP","test_pdp","",""
"","24264","Can remove a product from Favorites","tests","Tue Dec 16 20:43:20 UTC 2025","passed","Tue Dec 16 20:43:44 UTC 2025","TestFavoritesPage","test_favorites_page","",""
"","15418","Can sort by most popular","tests","Tue Dec 16 20:49:09 UTC 2025","passed","Tue Dec 16 20:49:25 UTC 2025","TestPLP","test_product_listing_page","",""
"","16606","Can expand/collapse the product description","tests","Tue Dec 16 20:45:53 UTC 2025","passed","Tue Dec 16 20:46:10 UTC 2025","TestPDP","test_pdp","",""
"","15931","Can autoscroll to the reviews section when clicking the reviews link","tests","Tue Dec 16 20:44:39 UTC 2025","passed","Tue Dec 16 20:44:55 UTC 2025","TestPDP","test_pdp","",""
"","22796","Can add/remove a product to/from favorites as unauthorized user","tests","Tue Dec 16 20:46:53 UTC 2025","passed","Tue Dec 16 20:47:16 UTC 2025","TestPDP","test_pdp","",""
